"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ESEJQKCI","journalArticle","1994","Gendreau, Michel; Hertz, Alain; Laporte, Gilbert","A Tabu Search Heuristic for the Vehicle Routing Problem","Management Science","","00251909, 15265501","","http://www.jstor.org/stable/2661622","[The purpose of this paper is to describe TABUROUTE, a new tabu search heuristic for the vehicle routing problem with capacity and route length restrictions. The algorithm considers a sequence of adjacent solutions obtained by repeatedly removing a vertex from its current route and reinserting it into another route. This is done by means of a generalized insertion procedure previously developed by the authors. During the course of the algorithm, infeasible solutions are allowed. Numerical tests on a set of benchmark problems indicate that tabu search outperforms the best existing heuristics, and TABUROUTE often produces the best known solutions.]","1994","2024-04-22 18:39:23","2024-04-22 18:39:23","2024-04-22","1276-1290","","10","40","","","","","","","","","","","","","JSTOR","","","","Publisher: INFORMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Z8B37TU","journalArticle","2015","Nagy, Gábor; Wassan, Niaz A.; Speranza, M. Grazia; Archetti, Claudia","The Vehicle Routing Problem with Divisible Deliveries and Pickups","Transportation Science","","00411655, 15265447","","http://www.jstor.org/stable/43666739","The vehicle routing problem with divisible deliveries and pickups is a new and interesting model within reverse logistics. Each customer may have a pickup and delivery demand that have to be served with capacitated vehicles. The pickup and the delivery quantities may be served, if beneficial, in two separate visits. The model is placed in the context of other delivery and pickup problems and formulated as a mixed-integer linear programming problem. In this paper, we study the savings that can be achieved by allowing the pickup and delivery quantities to be served separately with respect to the case where the quantities have to be served simultaneously. Both exact and heuristic results are analysed in depth for a better understanding of the problem structure and an average estimation of the savings due to the possibility of serving pickup and delivery quantities separately.","2015","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","271-294","","2","49","","","","","","","","","","","","","","","","","Publisher: INFORMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6YE4FHP8","journalArticle","2015","Baltz, Andreas; Ouali, Mourad El; Jäger, Gerold; Sauerland, Volkmar; Srivastav, Anand","Exact and heuristic algorithms for the Travelling Salesman Problem with Multiple Time Windows and Hotel Selection","The Journal of the Operational Research Society","","01605682, 14769360","","http://www.jstor.org/stable/24505309","We introduce and study the Travelling Salesman Problem with Multiple Time Windows and Hotel Selection (TSP-MTWHS), which generalises the well-known Travelling Salesman Problem with Time Windows and the recently introduced Travelling Salesman Problem with Hotel Selection. The TSP-MTWHS consists in determining a route for a salesman (eg, an employee of a services company) who visits various customers at different locations and different time windows. The salesman may require a several-day tour during which he may need to stay in hotels. The goal is to minimise the tour costs consisting of wage, hotel costs, travelling expenses and penalty fees for possibly omitted customers. We present a mixed integer linear programming (MILP) model for this practical problem and a heuristic combining cheapest insert, 2-OPT and randomised restarting. We show on random instances and on real world instances from industry that the MILP model can be solved to optimality in reasonable time with a standard MILP solver for several small instances. We also show that the heuristic gives the same solutions for most of the small instances, and is also fast, efficient and practical for large instances.","2015","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","615-626","","4","66","","","","","","","","","","","","","JSTOR","","","","Publisher: [Operational Research Society, Palgrave Macmillan Journals]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBFVB4IS","journalArticle","2007","N. Wassan","Reactive Tabu Adaptive Memory Programming Search for the Vehicle Routing Problem with Backhauls","The Journal of the Operational Research Society","","01605682, 14769360","","http://www.jstor.org/stable/4622860","[A heuristic approach based on a hybrid operation of reactive tabu search (RTS) and adaptive memory programming (AMP) is proposed to solve the vehicle routing problem with backhauls (VRPB). The RTS is used with an escape mechanism which manipulates different neighbourhood schemes in a sophisticated way in order to get a continuously balanced intensification and diversification during the search process. The adaptive memory strategy takes the search back to the unexplored regions of the search space by maintaining a set of elite solutions and using them strategically with the RTS. The AMP feature brings an extra robustness to the search process that resulted in early convergence when tested on most of the VRPB instances. We compare our algorithm against the best methods in the literature and report new best solutions for several benchmark problems.]","2007","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","1630-1641","","12","58","","","","","","","","","","","","","JSTOR","","","","Publisher: Palgrave Macmillan Journals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27MSPX2M","journalArticle","2000","O'Rouke, Kevin P.; Bailey, T. Glenn; Hill, Raymond; Carlton, William B.","68th MORS Symposium Barchi Prize Winners","Phalanx","","01951920","","http://www.jstor.org/stable/43962757","","2000","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","5-5","","3","33","","","","","","","","","","","","","JSTOR","","","","Publisher: Military Operations Research Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8XY72LE","journalArticle","2001","O'Rourke, Kevin P.","1999 AFIT Graduate Research Award","Phalanx","","01951920","","http://www.jstor.org/stable/43962397","","2001","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","21-21","","1","34","","","","","","","","","","","","","JSTOR","","","","Publisher: Military Operations Research Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLKUM8KE","journalArticle","2012","Vidal, Thibaut; Crainic, Teodor Gabriel; Gendreau, Michel; Lahrichi, Nadia; Rei, Walter","A Hybrid Genetic Algorithm for Multidepot and Periodic Vehicle Routing Problems","Operations Research","","0030364X, 15265463","","http://www.jstor.org/stable/23260157","[We propose an algorithmic framework that successfully addresses three vehicle routing problems: the multidepot VRP, the periodic VRP, and the multidepot periodic VRP with capacitated vehicles and constrained route duration. The metaheuristic combines the exploration breadth of population-based evolutionary search, the aggressive-improvement capabilities of neighborhood-based metaheuristics, and advanced population-diversity management schemes. Extensive computational experiments show that the method performs impressively in terms of computational efficiency and solution quality, identifying either the best known solutions, including the optimal ones, or new best solutions for all currently available benchmark instances for the three problem classes. The proposed method also proves extremely competitive for the capacitated VRP.]","2012","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","611-624","","3","60","","","","","","","","","","","","","JSTOR","","","","Publisher: INFORMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTNIE3M8","journalArticle","2013","Jabali, Ola","","Interfaces","","00922102, 1526551X","","http://www.jstor.org/stable/23481202","","2013","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","293-295","","3","43","","","","","","","","","","","","","JSTOR","","","","Publisher: INFORMS","","","","","","Montoya-Torres, Jairo R.; Luisa, Angel A. Juan; Huatuco, Huaccho; Faulin, Javier; Rodriguez-Verjan, Gloria L.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YS8A3PIH","journalArticle","2009","Laporte, Gilbert","Fifty Years of Vehicle Routing","Transportation Science","","00411655, 15265447","","http://www.jstor.org/stable/25769465","[The Vehicle Routing Problem (VRP) was introduced 50 years ago by Dantzig and Ramser under the title ""The Truck Dispatching Problem."" The study of the VRP has given rise to major developments in the fields of exact algorithms and heuristics. In particular, highly sophisticated exact mathematical programming decomposition algorithms and powerful metaheuristics for the VRP have been put forward in recent years. The purpose of this article is to provide a brief account of this development.]","2009","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","408-416","","4","43","","","","","","","","","","","","","JSTOR","","","","Publisher: INFORMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVKPDJ6J","journalArticle","2014","Schneider, Michael; Stenger, Andreas; Goeke, Dominik","The Electric Vehicle-Routing Problem with Time Windows and Recharging Stations","Transportation Science","","00411655, 15265447","","http://www.jstor.org/stable/43666939","Driven by new laws and regulations concerning the emission of greenhouse gases, carriers are starting to use electric vehicles for last-mile deliveries. The limited battery capacities of these vehicles necessitate visits to recharging stations during delivery tours of industry-typical length, which have to be considered in the route planning to avoid inefficient vehicle routes with long detours. We introduce the electric vehicle-routing problem with time windows and recharging stations (E-VRPTW), which incorporates the possibility of recharging at any of the available stations using an appropriate recharging scheme. Furthermore, we consider limited vehicle freight capacities as well as customer time windows, which are the most important constraints in real-world logistics applications. As a solution method, we present a hybrid heuristic that combines a variable neighborhood search algorithm with a tabu search heuristic. Tests performed on newly designed instances for the E-VRPTW as well as on benchmark instances of related problems demonstrate the high performance of the heuristic proposed as well as the positive effect of the hybridization.","2014","2024-04-22 18:39:24","2024-04-22 18:39:24","2024-04-22","500-520","","4","48","","","","","","","","","","","","","","","","","Publisher: INFORMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
