"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"H4AY88L3","journalArticle","2024","Wang, Li; Ding, Yifan; Chen, Zhiyuan; Su, Zhiyuan; Zhuang, Yufeng","Heuristic Algorithms for Heterogeneous and Multi-Trip Electric Vehicle Routing Problem with Pickup and Delivery","World Electric Vehicle Journal","","2032-6653","10.3390/wevj15020069","","In light of the widespread use of electric vehicles for urban distribution, this paper delves into the electric vehicle routing problem (EVRP): specifically addressing multiple trips per vehicle, diverse vehicle types, and simultaneous pickup and delivery. The primary objective is to minimize the overall cost, which encompasses travel expenses, waiting times, recharging costs, and fixed vehicle costs. The focal problem is formulated as a heterogeneous and multi-trip electric vehicle routing problem with pickup and delivery (H-MT-EVRP-PD). Additionally, we introduce two heuristic algorithms to efficiently approximate solutions within a reasonable computational time. The variable neighborhood search (VNS) algorithm and the adaptive large neighborhood search (ALNS) algorithm are presented and compared based on our computational experiences with both. Through solving a series of large-scale real-world instances for the H-MT-EVRP-PD and smaller instances using an exact method, we demonstrate the efficacy of the proposed approaches.","2024","2024-04-22 19:31:25","2024-04-22 19:31:25","","","","2","15","","","","","","","","","","","","","","","","","","","","","heuristics; pickup and delivery; heterogeneous fleet; multi-trip; electric vehicle routing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQDKCQDC","journalArticle","2024","Zuo, Wei; Li, Kang","Reliability Assessment of Integrated Power and Road System for Decarbonizing Heavy-Duty Vehicles","Energies","","1996-1073","10.3390/en17040934","","With the continual expansion of urban road networks and global commitments to net zero, electric vehicles (EVs) have been considered to be the most viable solution to decarbonize the transportation sector. In recent years, the electric road system (ERS) has been introduced and piloted in a few countries and regions to decarbonize heavy-duty vehicles. However, little research has been carried out on its reliability. This paper fills the gap and investigates the reliability of electric truck power supply systems for electric road (ETPSS–ER), which considers both the power system and truck traffic networks. First, a brief introduction of electric roads illustrates the working principle of EV charging on roads. Then, an optimized electric truck (ET) travel pattern model is built, based on which the corresponding ET charging load demand, including both static charging and dynamic charging, is conducted. Then, based on the new ET travel pattern model, a daily travel-pattern-driven Monte Carlo simulation-based reliability assessment method for ETPSS–ER system is presented. Case studies based on the IEEE RBTS system shows that ETs driving on ERS systems can meet the daily travel demands. The case studies also examine the impacts of increasing number of ETs, extra wind power, and battery energy storage systems (BESS) on the reliability of ERS power systems.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","4","17","","","","","","","","","","","","","","","","","","","","","genetic algorithm; electric trucks; daily route optimization; dynamic charging mode; electric road system; reliability assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPXL2CUK","journalArticle","2024","He, Meiling; Yang, Mei; Fu, Wenqing; Wu, Xiaohui; Izui, Kazuhiro","Optimization of Electric Vehicle Routes Considering Multi-Temperature Co-Distribution in Cold Chain Logistics with Soft Time Windows","World Electric Vehicle Journal","","2032-6653","10.3390/wevj15030080","","Inspired by the practice of urban distribution of fresh products, we introduce a new electric vehicle routing problem with soft time windows. In this problem, goods with different temperature layers can be distributed in ordinary electric vehicles simultaneously based on the cold storage insulation box. The primary objective is to devise optimized distribution routes for logistics companies to minimize distribution costs, including transportation, refrigeration, and charging costs. To address this, we present a mathematical model for the problem and propose an improved ant colony optimization algorithm combined with a 2-opt algorithm. Based on Solomon dataset, we conduct numerical experiments to verify the effectiveness of the proposed model and algorithm. The numerical results demonstrate that multi-temperature co-distribution can lead to a reduction in distribution cost and an improvement in distribution efficiency.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","3","15","","","","","","","","","","","","","","","","","","","","","soft time windows; electric vehicle routing problem; improved ant colony optimization algorithm; multi-temperature co-distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CWSE5W4","journalArticle","2024","Martin, Xabier A.; Escoto, Marc; Guerrero, Antoni; Juan, Angel A.","Battery Management in Electric Vehicle Routing Problems: A Review","Energies","","1996-1073","10.3390/en17051141","","The adoption of electric vehicles (EVs) has gained significant momentum in recent years as a sustainable alternative to traditional internal combustion engine vehicles. However, the efficient utilization of batteries in EVs, coupled with the growing demand for sustainable transportation, has posed complex challenges for battery management in the context of electric vehicle routing problems in a broad sense, which includes vehicle routing problems, team orienteering problems, and arc routing problems, all of them using EVs. This paper presents a comprehensive review of the state-of-the-art approaches, methodologies, and strategies for battery management in each of the aforementioned optimization problems. We explore the relevant factors influencing battery performance and the interplay between routing, charging, and energy management in the context of EVs. The paper also discusses the advances in optimization algorithms, vehicle-to-grid integration, and intelligent decision-making techniques aimed at enhancing the range, reliability, and sustainability of EV operations. Key findings indicate a paradigm shift towards addressing uncertainties, dynamic conditions, and synchronization challenges inherent in large-scale and dynamic routing problems within the context of EVs that require efficient battery management.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","5","17","","","","","","","","","","","","","","","","","","","","","metaheuristics; battery management; electric vehicle routing problems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9ANVARD","journalArticle","2024","Xu, Jiayi; Di Nardo, Mario; Yin, Shi","Improved Swarm Intelligence-Based Logistics Distribution Optimizer: Decision Support for Multimodal Transportation of Cross-Border E-Commerce","Mathematics","","2227-7390","10.3390/math12050763","","Cross-border e-commerce logistics activities increasingly use multimodal transportation modes. In this transportation mode, the use of high-performance optimizers to provide decision support for multimodal transportation for cross-border e-commerce needs to be given attention. This study constructs a logistics distribution optimization model for cross-border e-commerce multimodal transportation. The mathematical model aims to minimize distribution costs, minimize carbon emissions during the distribution process, and maximize customer satisfaction as objective functions. It also considers constraints from multiple dimensions, such as cargo aircraft and vehicle load limitations. Meanwhile, corresponding improvement strategies were designed based on the Sand Cat Swarm Optimization (SCSO) algorithm. An improved swarm intelligence algorithm was proposed to develop an optimizer based on the improved swarm intelligence algorithm for model solving. The effectiveness of the proposed mathematical model and improved swarm intelligence algorithm was verified through a real-world case of cross-border e-commerce logistics transportation. The results indicate that using the proposed solution in this study, the cost of delivery and carbon emissions can be reduced, while customer satisfaction can be improved.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","5","12","","","","","","","","","","","","","","","","","","","","","cross-border e-commerce; logistics distribution; multimodal transport; sand cat swarm optimization; swarm intelligence algorithm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8M3DEKY","journalArticle","2024","Moon, Sungwon; Koo, Seolwon; Lim, Yujin; Joo, Hyunjin","Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning","Applied Sciences","","2076-3417","10.3390/app14052214","","With recent technological advancements, the commercialization of autonomous vehicles (AVs) is expected to be realized soon. However, it is anticipated that a mixed traffic of AVs and human-driven vehicles (HVs) will persist for a considerable period until the Market Penetration Rate reaches 100%. During this phase, AVs and HVs will interact and coexist on the roads. Such an environment can cause unpredictable and dynamic traffic conditions due to HVs, which results in traffic problems including traffic congestion. Therefore, the routes of AVs must be controlled in a mixed traffic environment. This study proposes a multi-objective vehicle routing control method using a deep Q-network to control the driving direction at intersections in a mixed traffic environment. The objective is to distribute the traffic flow and control the routes safely and efficiently to their destination. Simulation results showed that the proposed method outperformed existing methods in terms of the driving distance, time, and waiting time of AVs, particularly in more dynamic traffic environments. Consequently, the traffic became smooth as it moved along optimal routes.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","5","14","","","","","","","","","","","","","","","","","","","","","deep reinforcement learning; autonomous vehicle; deep Q-network; traffic flow; vehicle routing control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFTLK2ES","journalArticle","2024","Han, Dan; Jiang, Hao; Wang, Lifang; Zhu, Xinyu; Chen, Yaqing; Yu, Qizhou","Collaborative Task Allocation and Optimization Solution for Unmanned Aerial Vehicles in Search and Rescue","Drones","","2504-446X","10.3390/drones8040138","","Earthquakes pose significant risks to national stability, endangering lives and causing substantial economic damage. This study tackles the urgent need for efficient post-earthquake relief in search and rescue (SAR) scenarios by proposing a multi-UAV cooperative rescue task allocation model. With consideration the unique requirements of post-earthquake rescue missions, the model aims to minimize the number of UAVs deployed, reduce rescue costs, and shorten the duration of rescue operations. We propose an innovative hybrid algorithm combining particle swarm optimization (PSO) and grey wolf optimizer (GWO), called the PSOGWO algorithm, to achieve the objectives of the model. This algorithm is enhanced by various strategies, including interval transformation, nonlinear convergence factor, individual update strategy, and dynamic weighting rules. A practical case study illustrates the use of our model and algorithm in reality and validates its effectiveness by comparing it to PSO and GWO. Moreover, a sensitivity analysis on UAV capacity highlights its impact on the overall rescue time and cost. The research results contribute to the advancement of vehicle-routing problem (VRP) models and algorithms for post-earthquake relief in SAR. Furthermore, it provides optimized relief distribution strategies for rescue decision-makers, thereby improving the efficiency and effectiveness of SAR operations.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","4","8","","","","","","","","","","","","","","","","","","","","","multi-UAV collaboration; post-earthquake relief; PSOGWO algorithm; search and rescue; task allocation model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUUKUV8T","journalArticle","2024","Dai, Debao; Cai, Hanqi; Ye, Liang; Shao, Wei","Two-Stage Delivery System for Last Mile Logistics in Rural Areas: Truck–Drone Approach","Systems","","2079-8954","10.3390/systems12040121","","In rural areas of China, the challenges of efficient and cost-effective distribution are exacerbated by underdeveloped infrastructure and low population density, with last mile logistics distribution posing a significant obstacle. To address the gap in drone application for last mile logistics in rural areas, a truck–drone distribution model was developed based on the specific conditions of rural regions. The improved fuzzy C-means algorithm (FCM) and genetic simulated annealing algorithm (GASA) were employed to tackle real−world cases in rural areas. The focus of the truck–drone system is to optimize the rural logistics distribution process, reduce delivery time, and minimize costs while considering factors such as maximum mileage of trucks and drones as well as customer priority. Compared to traditional methods, this system has demonstrated notable improvements in distribution efficiency and cost reduction, offering valuable insights for practical drone applications in last mile rural logistics.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","4","12","","","","","","","","","","","","","","","","","","","","","genetic annealing algorithm; improved-FCM algorithm; last mile; rural logistics; truck–drone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JS789MCY","journalArticle","2024","Vassilakis, Constantinos; Polychronaki, Maria; Margaritis, Dimosthenis; Kogias, Dimitrios G.; Leligou, Helen C.","OPTORER: A Dynamic Routing and Touring Service for Indoors and Outdoor Tours","Sensors","","1424-8220","10.3390/s24082431","","This paper introduces a new routing and touring service both for outdoor and indoor places of touristic and cultural interest designed to be used in the wider area of Attica, Greece. This service is the result of the work performed in OPTORER (OPTORER: OPtimal rouTing and explOration of touRistic and cultural arEas of interest within Attica given personalized adaptive preferences, promoted underlying purpose, and interactive experience), project, and it aspires to offer a range of innovative and thematic routes to several specified points of interest in the selected area of Attica, encouraging the combination of indoor and outdoor routes in a single tour. The aim is to optimize the user experience while promoting specific, user-centric features, with safety and social welfare being a priority for every designed tour, resulting in enhancing the touristic experience in the area. Using a common smartphone device, as well as common wearable devices (i.e., smartwatches), the OPTORER service will provide an end-to-end solution by developing the algorithms and end-user applications, together with an orchestration platform responsible for managing, operating, and executing the service that produces and presents to the end user results derived from solving dynamically complex optimization problems.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","8","24","","","","","","","","","","","","","","","","","","","","","content creation; dynamic routing; public safety and wellbeing; routing service; smartphones; thematic tours marketplace; UX optimization; wearables","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KDP7TP7","journalArticle","2024","Azadi, Amir H.; Khalilzadeh, Mohammad; Antucheviciene, Jurgita; Heidari, Ali; Soon, Amirhossein","A Sustainable Multi-Objective Model for Capacitated-Electric-Vehicle-Routing-Problem Considering Hard and Soft Time Windows as Well as Partial Recharging","Biomimetics","","2313-7673","10.3390/biomimetics9040242","","Due to the high pollution of the transportation sector, nowadays the role of electric vehicles has been noticed more and more by governments, organizations, and environmentally friendly people. On the other hand, the problem of electric vehicle routing (EVRP) has been widely studied in recent years. This paper deals with an extended version of EVRP, in which electric vehicles (EVs) deliver goods to customers. The limited battery capacity of EVs causes their operational domains to be less than those of gasoline vehicles. For this purpose, several charging stations are considered in this study for EVs. In addition, depending on the operational domain, a full charge may not be needed, which reduces the operation time. Therefore, partial recharging is also taken into account in the present research. This problem is formulated as a multi-objective integer linear programming model, whose objective functions include economic, environmental, and social aspects. Then, the preemptive fuzzy goal programming method (PFGP) is exploited as an exact method to solve small-sized problems. Also, two hybrid meta-heuristic algorithms inspired by nature, including MOSA, MOGWO, MOPSO, and NSGAII_TLBO, are utilized to solve large-sized problems. The results obtained from solving the numerous test problems demonstrate that the hybrid meta-heuristic algorithm can provide efficient solutions in terms of quality and non-dominated solutions in all test problems. In addition, the performance of the algorithms was compared in terms of four indexes: time, MID, MOCV, and HV. Moreover, statistical analysis is performed to investigate whether there is a significant difference between the performance of the algorithms. The results indicate that the MOSA algorithm performs better in terms of the time index. On the other hand, the NSGA-II-TLBO algorithm outperforms in terms of the MID, MOCV, and HV indexes.","2024","2024-04-22 19:31:26","2024-04-22 19:31:26","","","","4","9","","","","","","","","","","","","","","","","","","","","","sustainability; capacitated EVRP; epsilon-constraint; hard and soft time windows; nature-inspired algorithms; partial recharging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
