"Authors","Author full names","Author(s) ID","Title","Year","Source title","Link","Abstract","Author Keywords"
"Wang S.; Sun W.; Huang M.","Wang, Sihan (57189986732); Sun, Wei (56505924300); Huang, Min (8652589000)","57189986732; 56505924300; 8652589000","An adaptive large neighborhood search for the multi-depot dynamic vehicle routing problem with time windows","2024","Computers and Industrial Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190069835&doi=10.1016%2fj.cie.2024.110122&partnerID=40&md5=c39d6b60653a69665a5313b394a68e7f","As part of this study, we examine the multi-depot dynamic vehicle routing problem with time windows (MD-DVRPTW), in which customer requests emerge stochastically throughout the operational horizon. To provide timely and comprehensive service to these customers, a re-optimization framework utilizing an adaptive large neighborhood search (ALNS) has been developed. In our ALNS algorithm, two novel removal operators and a time window compatibility-based insertion method are proposed to improve its accuracy and efficiency. This study demonstrates that our ALNS is well-suited for dynamic problems that require re-optimization within a very short period compared to state-of-the-art algorithms. While conducting benefit analyses for MD-DVRPTW, we illustrate that the fixed cost of the vehicle can also impact route planning. Furthermore, accelerating responsiveness does not necessarily improve dynamic problems; instead, it may increase costs. © 2024 Elsevier Ltd","Adaptive large neighborhood search; Dynamic VRP; Multi-depot VRP"
"Uddin F.; Riaz N.; Manan A.; Mahmood I.; Song O.-Y.; Malik A.J.; Abbasi A.A.","Uddin, Fakhar (58451560300); Riaz, Naveed (55075392000); Manan, Abdul (15765683900); Mahmood, Imran (57205856715); Song, Oh-Young (8901190400); Malik, Arif Jamal (18135128000); Abbasi, Aaqif Afzaal (57023207900)","58451560300; 55075392000; 15765683900; 57205856715; 8901190400; 18135128000; 57023207900","An Improvement to the 2-Opt Heuristic Algorithm for Approximation of Optimal TSP Tour","2023","Applied Sciences (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164004682&doi=10.3390%2fapp13127339&partnerID=40&md5=ea809bf27c5dccfddd3fb55764c23172","The travelling salesman problem (TSP) is perhaps the most researched problem in the field of Computer Science and Operations. It is a known NP-hard problem and has significant practical applications in a variety of areas, such as logistics, planning, and scheduling. Route optimisation not only improves the overall profitability of a logistic centre but also reduces greenhouse gas emissions by minimising the distance travelled. In this article, we propose a simple and improved heuristic algorithm named 2-Opt++, which solves symmetric TSP problems using an enhanced 2-Opt local search technique, to generate better results. As with 2-Opt, our proposed method can also be applied to the Vehicle Routing Problem (VRP), with minor modifications. We have compared our technique with six existing algorithms, namely ruin and recreate, nearest neighbour, genetic algorithm, simulated annealing, Tabu search, and ant colony optimisation. Furthermore, to allow for the complexity of larger TSP instances, we have used a graph compression/candidate list technique that helps in reducing the computational complexity and time. The comprehensive empirical evaluation carried out for this research work shows the efficacy of the 2-Opt++ algorithm as it outperforms the other well-known algorithms in terms of the error margin, execution time, and time of convergence. © 2023 by the authors.","combinatorial optimisation; heuristic algorithms; route optimisation; travelling salesman problem; TSPLIB; VRP"
"Ouertani N.; Ben-Romdhane H.; Nouaouri I.; Allaoui H.; Krichen S.","Ouertani, Nasreddine (57208534193); Ben-Romdhane, Hajer (55580746100); Nouaouri, Issam (35748904800); Allaoui, Hamid (56084920300); Krichen, Saoussen (55990314400)","57208534193; 55580746100; 35748904800; 56084920300; 55990314400","A multi-compartment VRP model for the health care waste transportation problem","2023","Journal of Computational Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166315662&doi=10.1016%2fj.jocs.2023.102104&partnerID=40&md5=789aaefa04d6deff5d8174e98ff9ea25","Health-care waste (HCW) is a special category of refuse generated when providing health care and can comprise materials with infectious and/or toxic characteristics. The disposal of this waste involves its transport from health-care facilities to treatment centers. This step can be threatening to humans and the environment if not managed with the utmost care. To ensure the safe management of HCW, this article proposes a new model for HCW transportation that separates hazardous from non-hazardous waste along the transportation route. The proposed model is based on the multi-compartment vehicle routing problem, where each type of waste is carried in a dedicated compartment, and the objective is to minimize the total route cost. Considering the NP-hardness of the problem, an adaptive genetic algorithm is proposed based on the results of statistical pre-post testing of the population. The experimental study, conducted on benchmark instances and real data instances, show the efficiency of the proposed approach against state-of-the-art algorithms. © 2023 Elsevier B.V.","Adaptive genetic algorithm; Health-care waste; Multi-compartment vehicle routing problem; Statistical pre-post testing"
"Zheng Y.-J.; Chen X.; Yan H.-F.; Zhang M.-X.","Zheng, Yu-Jun (55619294936); Chen, Xin (57220547037); Yan, Hong-Fang (57210390326); Zhang, Min-Xia (56085062800)","55619294936; 57220547037; 57210390326; 56085062800","Evolutionary algorithm for vehicle routing for shared e-bicycle battery replacement and recycling","2023","Applied Soft Computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149722816&doi=10.1016%2fj.asoc.2023.110023&partnerID=40&md5=86a6333e1890a32adca2e696b8886c41","Shared electric bicycles (e-bicycles) are becoming an increasingly popular model of sharing economy that provides the public with a convenient and labor-saving transport alternative. Efficient battery replacement is critical to maintain the operational capability of e-bicycles, but is quite difficult as there are often a large number of e-bicycles that are widely dispersed. In this paper, we study a problem of scheduling multiple vehicles to deliver fully-charged batteries to and take back low-power batteries from shared e-bicycles scattered in numerous parking spots, while the low-power batteries are recharged in battery depots for potential re-utilization. The aim of this problem is to minimize the completion time of all battery replacement tasks so as to keep a high operational efficiency of the system. The problem differs from existing vehicle routing problems in two main special features: (1) equivalent exchange of fully-charged batteries and low-power batteries; (2) recycling of batteries. To efficiently solve this special problem, we propose an evolutionary algorithm using variable local-search-based mutation to balance global exploration and local exploitation and employing enhanced local search around each newly found best known solution to improve accuracy. Experiments on test instances and real-world instances demonstrate the competitive performance of the proposed method. © 2023 The Author(s)","Battery replacement and recycling; Evolutionary algorithm; Local search; Shared e-bicycle; Vehicle routing problem (VRP)"
"Hou B.; Zhang K.; Gong Z.; Li Q.; Zhou J.; Zhang J.; de La Fortelle A.","Hou, Boyuan (57957499000); Zhang, Kailong (12762877100); Gong, Zu (58670501500); Li, Qiugang (58086615800); Zhou, Junle (58671267200); Zhang, Jiahao (58180374800); de La Fortelle, Arnaud (6506667546)","57957499000; 12762877100; 58670501500; 58086615800; 58671267200; 58180374800; 6506667546","SoC-VRP: A Deep-Reinforcement-Learning-Based Vehicle Route Planning Mechanism for Service-Oriented Cooperative ITS","2023","Electronics (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175267202&doi=10.3390%2felectronics12204191&partnerID=40&md5=a343ce408fae89ef1406e2c4d9f3f88d","With the rapid development of emerging information technology and its increasing integration with transportation systems, the Intelligent Transportation System (ITS) is entering a new phase, called Cooperative ITS (C-ITS). It offers promising solutions to numerous challenges in traditional transportation systems, among which the Vehicle Routing Problem (VRP) is a significant concern addressed in this work. Considering the varying urgency levels of different vehicles and their different traveling constraints in the Service-oriented Cooperative ITS (SoC-ITS) framework studied in our previous research, the Service-oriented Cooperative Vehicle Routing Problem (SoC-VRP) is firstly analyzed, in which cooperative planning and vehicle urgency degrees are two vital factors. After examining the characteristics of both VRP and SoC-VRP, a Deep Reinforcement Learning (DRL)-based prioritized route planning mechanism is proposed. Specifically, we establish a deep reinforcement learning model with Rainbow DQN and devise a prioritized successive decision-making route planning method for SoC-ITS, where vehicle urgency degrees are mapped to three priorities: High for emergency vehicles, Medium for shuttle buses, and Low for the rest. All proposed models and methods are implemented, trained using various scenarios on typical road networks, and verified with SUMO-based scenes. Experimental results demonstrate the effectiveness of this hybrid prioritized route planning mechanism. © 2023 by the authors.","deep reinforcement learning; Qualities of Traveling (QoT); Service-oriented C-ITS (Soc-ITS); Service-oriented Cooperative VRP (SoC-VRP); SUMO; vehicle priority"
"Frey C.M.M.; Jungwirth A.; Frey M.; Kolisch R.","Frey, Christian M.M. (57318244700); Jungwirth, Alexander (57226119182); Frey, Markus (57191249987); Kolisch, Rainer (55918907400)","57318244700; 57226119182; 57191249987; 55918907400","The vehicle routing problem with time windows and flexible delivery locations","2023","European Journal of Operational Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148752135&doi=10.1016%2fj.ejor.2022.11.029&partnerID=40&md5=a956c434f87d47d801593a8c34764165","We introduce a new variant of the well-known vehicle routing problem (VRP): the VRP with time windows and flexible delivery locations (VRPTW-FL). Generally, in the VRP each customer is served in one fixed service location. However, in the VRPTW-FL each customer is served in one of a set of potential service locations, each of which has a certain capacity. From a practical point of view, the VRPTW-FL is highly relevant due to its numerous applications, e.g. parcel delivery, routing with limited parking space, and hospital-wide scheduling of physical therapists. Theoretically, the VRPTW-FL is challenging to solve due to the limited location capacities. When serving a customer, location availability must be ensured at every time. To solve this problem, we present a mathematical model and a tailored hybrid adaptive large neighborhood search. Our heuristic makes use of an innovative backtracking approach during the construction phase to alter unsatisfactory decisions at an early stage. In the meta-heuristic phase, we employ novel neighborhoods and dynamic updates of the objective violation weights. For our computational analysis, we use hospital data to evaluate the utility of flexible delivery locations and various cost functions. Our algorithmic features improve the solution quality considerably. © 2022 Elsevier B.V.","Location capacity; Metaheuristic; OR in health services; Routing"
"Muñoz-Villamizar A.; Velazquez-Martínez J.C.; Caballero-Caballero S.","Muñoz-Villamizar, Andrés (55886287800); Velazquez-Martínez, Josue C. (56032402100); Caballero-Caballero, Sergio (57210735521)","55886287800; 56032402100; 57210735521","A large-scale last-mile consolidation model for e-commerce home delivery","2024","Expert Systems with Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169812585&doi=10.1016%2fj.eswa.2023.121200&partnerID=40&md5=f6fcf4637a29383b44a24d7703f4517b","E-commerce's rapid growth, combined with customer demand for fast shipping, has significantly escalated last-mile transportation, particularly home deliveries. This surge calls for novel strategies to optimize vehicle utilization while maintaining timely delivery. In response, many online retailers are incentivizing customers to embrace delayed home deliveries by offering economic incentives. Nonetheless, current transportation systems fall short in accommodating orders with extended delivery windows, primarily adhering to the First-In-First-Out rule and distance minimization via the Vehicle Routing Problem (VRP). In this paper, we introduce a new consolidation-based delivery methodology that addresses these challenges. Our approach accounts for orders with daily-based time windows and also anticipates future demand realizations (i.e., expected incoming orders). We characterize this consolidation problem using a Mixed Integer Linear Programming model and propose a custom metaheuristic approach that can tackle the problem on a large-scale setting, introducing a significant novelty approach in last-mile delivery research. We applied our methodology to one of Mexico's largest retailers and compared its performance against the company's existing transportation systems. O approach substantially improves vehicle utilization and yields considerable reductions in distance traveled, time, and overall transportation costs, achieving cost savings of up to 52%. These savings represent tangible benefits, enabling potential revenue enhancements for businesses and cost-effective, timely deliveries for consumers. Additionally, the increased vehicle utilization implies fewer vehicles are needed for the same volume of deliveries, thereby enhancing operational efficiency. This innovative approach, therefore, presents a practical and highly effective solution for managing large-scale last-mile delivery scenarios. © 2023 The Author","Consolidation; E-commerce; Fast-shipping; Large-scale optimization; Last-mile delivery"
"K. K N.; N. S J.; Jadoun V.K.","K. K, Nandini (58608447700); N. S, Jayalakshmi (58630311300); Jadoun, Vinay Kumar (55014479000)","58608447700; 58630311300; 55014479000","Metaheuristic Algorithms for Evaluating the Effect of Electric Vehicle Charging Infrastructures in Distribution Networks","2023","Electric Power Components and Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171789624&doi=10.1080%2f15325008.2023.2258872&partnerID=40&md5=18ef7a9e9df3ba4cf987ccb27c23064d","To address the effect of electric vehicle (EV) load on distribution system efficient optimization techniques are required. In this paper, an attempt is made to work with various new optimization techniques for minimizing the detrimental effect of EV charging station (EVCS) load on the electrical network. The operating conditions of the distribution network, that is, voltage stability, reliability and power loss (VRP) index are optimized in this work in a framework of multiple objectives with various technical constraints. Although many optimization approaches have been developed in recent years, eight well-known techniques are employed in the present work such as modified teaching-learner-based optimization (MTLBO), JAYA, modified JAYA (MJAYA), ant–lion optimization (ALO), whale optimization technique (WOT), grasshopper optimization technique (GOT), modified whale optimization algorithm (MWOA), and hybrid whale particle swarm optimization (HWPSOA). All the eight techniques’ performance is compared under two different cases of operations by testing the objective function on the modified IEEE 33 bus distribution system using MATLAB software. The numerical solutions obtained by the HWPSOA indicate the suitability and effectiveness for optimizing the specified complex multi-objective function compared to other techniques. © 2023 Taylor & Francis Group, LLC.","electric vehicle charging station; metaheuristic techniques; optimization; renewable energy sources; VRP index"
"Xu S.; Zhai Y.; Feng J.; Liu G.","Xu, Suxiu (35773963700); Zhai, Yue (57045288800); Feng, Jianghong (57218395456); Liu, Guosheng (57212062155)","35773963700; 57045288800; 57218395456; 57212062155","A framework of carbon-neutral waste transportation: Modeling and sensitive analysis","2023","Circular Economy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165668798&doi=10.1016%2fj.cec.2023.100024&partnerID=40&md5=52d67c8493fcace0a3273a7b951987b7","This study is aimed at helping third-party logistics companies to achieve carbon neutrality, which is a challenge they will face in the near future. From the perspective of carbon neutrality, this paper studies two types of vehicle routing problems (VRP) regarding third-party logistics: One is the carbon-neutral vehicle routing problem (CNVRP), and the other is the multi-stage carbon-neutral vehicle routing problem (MSCNVRP). In this paper, we consider three objective functions for the CNVRP and MSCNVRP models respectively: total cost minimization, fleet size minimization, and carbon emission minimization. We first linearize the constructed nonlinear CNVRP and MSCNVRP models, and then verify the validity and reliability of the models through numerical examples. Numerical experimental results show that considering the total cost minimization objective leads to a better solution for fleet size and routing in transportation. In addition, in terms of the uncertainty of carbon sink price, the MSCNVRP model has more advantages than the CNVRP model. Changes in carbon sink prices and the availability of funds to achieve carbon neutrality have no effect on fleet size and vehicle routing for models whose objective functions are to minimize total costs, but models with the objective functions of minimizing fleet size or carbon emissions are more sensitive. The results also showed that companies with multiple types of vehicles have an advantage in transportation costs. In particular, the models proposed herein can provide flexible solutions for companies in third-party logistics to achieve carbon-neutral transportation. © 2023 The Author(s)","Carbon neutrality; Global climate change; Third-party logistics; Vehicle routing problem; Waste transport"
"Maleki A.; Hemmati V.; Reza Abazari S.; Aghsami A.; Rabbani M.","Maleki, Abolfazl (58084999200); Hemmati, Vahid (37059080000); Reza Abazari, Seyed (58885711100); Aghsami, Amir (56928367000); Rabbani, Masoud (57208701862)","58084999200; 37059080000; 58885711100; 56928367000; 57208701862","Optimal distribution and waste management of Covid-19 vaccines from vaccination centers’ satisfaction perspective – A fuzzy time window-based VRP","2024","Transportation Research Part E: Logistics and Transportation Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184951141&doi=10.1016%2fj.tre.2024.103454&partnerID=40&md5=2df377ffd0fc5b682c7f9786c7f2795a","Due to the unforeseen outcomes of the recent COVID-19 pandemic, the adoption of essential policies and tactics to implement public vaccination programs has gained attention worldwide. Statistics indicate that medical waste production is growing dramatically, posing a major risk to both individuals and the environment if not properly handled. In this context, we present a sustainable fuzzy multi-objective, multi-period, multi-product, and location-allocation model that considers both the vaccine distribution phase and the medical waste management process. The model addresses the capacitated and multi-depot vehicle routing problem (VRP) with heterogeneous vehicles. Moreover, as a new social aspect from vaccination centers’ perspective, a fuzzy version of the time-window is considered in the model to integrate both satisfaction level and priority of the nodes that must be visited. Subsequently, the augmented ε-constraint, TH method, and LP-Metric approach are utilized to solve the proposed multi-objective model. To provide empirical support for the model's input parameters and evaluate the effectiveness of the solution strategies, data for a medical supply chain network (MSCN) in Iran is used. The results demonstrate that shifting the vaccination centers’ desired time to be serviced might be a suitable solution to stop the emission rate from increasing or the satisfaction levels from falling. © 2024 Elsevier Ltd","COVID-19 vaccine supply chain design; Fuzzy time window-based VRP; Medical waste management; Multi-objective mathematical programming"
