Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Tackling a VRP challenge to redistribute scarce equipment within time windows using metaheuristic algorithms","EURO Journal on Transportation and Logistics","","8","5","10.1007/s13676-019-00143-8","Ahmed KheiriAlina G. DragomirDavid MuellerJoaquim GromichoCaroline JagtenbergJelke J. van Hoorn","2019","http://link.springer.com/article/10.1007/s13676-019-00143-8","Article"
"Self-organizing maps in population based metaheuristic to the dynamic vehicle routing problem","Journal of Combinatorial Optimization","","24","4","10.1007/s10878-011-9400-8","Jean-Charles CréputAmir HajjamAbderrafiaa KoukamOlivier Kuhn","2012","http://link.springer.com/article/10.1007/s10878-011-9400-8","Article"
"A hybrid metaheuristic algorithm to solve the electric vehicle routing problem with battery recharging stations for sustainable environmental and energy optimization","Energy Systems","","14","1","10.1007/s12667-022-00501-y","Jalel EuchiAdnan Yassine","2023","http://link.springer.com/article/10.1007/s12667-022-00501-y","Article"
"Emerging Research Fields in Vehicle Routing Problem: A Short Review","Archives of Computational Methods in Engineering","","30","4","10.1007/s11831-022-09874-w","M. Salehi SarbijanJ. Behnamian","2023","http://link.springer.com/article/10.1007/s11831-022-09874-w","Article"
"Coalition-based metaheuristic: a self-adaptive metaheuristic using reinforcement learning and mimetism","Journal of Heuristics","","16","6","10.1007/s10732-009-9121-7","David MeignanAbderrafiaa KoukamJean-Charles Créput","2010","http://link.springer.com/article/10.1007/s10732-009-9121-7","Article"
"Metaheuristic link prediction (MLP) using AI based ACO-GA optimization model for solving vehicle routing problem","International Journal of Information Technology","","15","7","10.1007/s41870-023-01378-5","Jai Keerthy Chowlur RevannaNushwan Yousif B. Al-Nakash","2023","http://link.springer.com/article/10.1007/s41870-023-01378-5","Article"
"Metaheuristics with disposal facility positioning for the waste collection VRP with time windows","Optimization Letters","","7","7","10.1007/s11590-012-0549-6","A. M. BenjaminJ. E. Beasley","2013","http://link.springer.com/article/10.1007/s11590-012-0549-6","Article"
"A metaheuristic algorithm and structured analysis for the Line-haul Feeder Vehicle Routing Problem with Time Windows","Central European Journal of Operations Research","","29","1","10.1007/s10100-019-00625-0","Christian Brandstätter","2021","http://link.springer.com/article/10.1007/s10100-019-00625-0","Article"
"Performance analysis of a metaheuristic algorithm for the line-haul feeder vehicle routing problem","Journal on Vehicle Routing Algorithms","","1","2 - 4","10.1007/s41604-018-0009-2","Christian BrandstätterMarc Reimann","2018","http://link.springer.com/article/10.1007/s41604-018-0009-2","Article"
"Vehicle routing problem and related algorithms for logistics distribution: a literature review and classification","Operational Research","","22","3","10.1007/s12351-020-00600-7","Grigorios D. KonstantakopoulosSotiris P. GayialisEvripidis P. Kechagias","2022","http://link.springer.com/article/10.1007/s12351-020-00600-7","Article"
"A hybrid metaheuristic for solving asymmetric distance-constrained vehicle routing problem","Computational Social Networks","","8","1","10.1186/s40649-020-00084-7","Ha-Bang BanPhuong Khanh Nguyen","2021","http://link.springer.com/article/10.1186/s40649-020-00084-7","Article"
"Solving the open vehicle routeing problem via a single parameter metaheuristic algorithm","Journal of the Operational Research Society","","56","5","10.1057/palgrave.jors.2601848","C D TarantilisG IoannouC T KiranoudisG P Prastacos","2005","http://link.springer.com/article/10.1057/palgrave.jors.2601848","Article"
"A metaheuristic based on a pool of routes for the vehicle routing problem with multiple trips and time windows","Journal of the Operational Research Society","","65","1","10.1057/jors.2013.4","Z WangW LiangX Hu","2014","http://link.springer.com/article/10.1057/jors.2013.4","Article"
"A list based threshold accepting metaheuristic for the heterogeneous fixed fleet vehicle routing problem","Journal of the Operational Research Society","","54","1","10.1057/palgrave.jors.2601443","C D TarantilisC T KiranoudisV S Vassiliadis","2003","http://link.springer.com/article/10.1057/palgrave.jors.2601443","Article"
"Performance evaluation of distance metrics on Firefly Algorithm for VRP with time windows","International Journal of Information Technology","","13","6","10.1007/s41870-019-00387-7","Divya AggarwalVijay Kumar","2021","http://link.springer.com/article/10.1007/s41870-019-00387-7","Article"
"Two metaheuristic approaches for solving the multi-compartment vehicle routing problem","Operational Research","","20","4","10.1007/s12351-018-0403-4","Hiba YahyaouiIslem KaabachiSaoussen KrichenAbdulkader Dekdouk","2020","http://link.springer.com/article/10.1007/s12351-018-0403-4","Article"
"SimILS: a simulation-based extension of the iterated local search metaheuristic for stochastic combinatorial optimization","Journal of Simulation","","10","1","10.1057/jos.2014.25","Alex GrasasAngel A JuanHelena R Lourenço","2016","http://link.springer.com/article/10.1057/jos.2014.25","Article"
"Solving the humanitarian multi-trip cumulative capacitated routing problem via a grouping metaheuristic algorithm","Annals of Operations Research","","319","1","10.1007/s10479-022-04757-6","Maliheh KhorsiSeyed Kamal ChaharsooghiAli Husseinzadeh KashanAli Bozorgi-Amiri","2022","http://link.springer.com/article/10.1007/s10479-022-04757-6","Article"
"Green two-echelon closed and open location-routing problem: application of NSGA-II and MOGWO metaheuristic approaches","Environment, Development and Sustainability","","25","9","10.1007/s10668-022-02429-w","Ali HeidariDin Mohammad ImaniMohammad KhalilzadehMahdieh Sarbazvatan","2023","http://link.springer.com/article/10.1007/s10668-022-02429-w","Article"
"An optimized evacuation model with compatibility constraints in the context of disability: an ancient-inspired Giza Pyramids Construction metaheuristic approach","Applied Intelligence","","52","13","10.1007/s10489-021-03079-7","Sadoullah EbrahimnejadSasan Harifi","2022","http://link.springer.com/article/10.1007/s10489-021-03079-7","Article"
"Experience with a framework for developing heuristics for solving rich vehicle routing problems","Journal of Heuristics","","20","1","10.1007/s10732-013-9232-z","Ulrich DerigsUlrich Vogel","2014","http://link.springer.com/article/10.1007/s10732-013-9232-z","Article"
"A metaheuristic method for the multireturn-to-depot petrol truck routing problem with time windows","Petroleum Science","","16","3","10.1007/s12182-019-0316-8","Bohong WangYongtu LiangMeng YuanHaoran ZhangQi Liao","2019","http://link.springer.com/article/10.1007/s12182-019-0316-8","Article"
"TLHSA and SACA: two heuristic algorithms for two variant VRP models","Journal of Combinatorial Optimization","","44","4","10.1007/s10878-021-00831-0","Xuhong CaiLi JiangSonghu GuoHejiao HuangHongwei Du","2022","http://link.springer.com/article/10.1007/s10878-021-00831-0","Article"
"Cutting uncertain stock and vehicle routing in a sustainability forestry harvesting problem","TOP","","31","1","10.1007/s11750-022-00623-7","Adejuyigbe O. FajemisinSteven D. PrestwichLaura Climent","2023","http://link.springer.com/article/10.1007/s11750-022-00623-7","Article"
"A library of local search heuristics for the vehicle routing problem","Mathematical Programming Computation","","2","2","10.1007/s12532-010-0013-5","Chris GroërBruce GoldenEdward Wasil","2010","http://link.springer.com/article/10.1007/s12532-010-0013-5","Article"
"Boosting sustainable development goals: a hybrid metaheuristic approach for the heterogeneous vehicle routing problem with three-dimensional packing constraints and fuel consumption","Annals of Operations Research","","","","10.1007/s10479-023-05533-w","Juan Esteban Rojas-SaavedraDavid Álvarez-MartínezJohn Willmer Escobar","2023","http://link.springer.com/article/10.1007/s10479-023-05533-w","Article"
"VRP in urban areas to optimize costs while mitigating environmental impact","Soft Computing","","26","19","10.1007/s00500-022-07325-z","Carmine CerroneAnna Sciomachen","2022","http://link.springer.com/article/10.1007/s00500-022-07325-z","Article"
"Parallel Version of Local Search Heuristic Algorithm to Solve Capacitated Vehicle Routing Problem","Cluster Computing","","24","4","10.1007/s10586-021-03354-9","Pramod YelmewadBasavaraj Talawar","2021","http://link.springer.com/article/10.1007/s10586-021-03354-9","Article"
"Hybrid metaheuristic algorithm using butterfly and flower pollination base on mutualism mechanism for global optimization problems","Engineering with Computers","","37","4","10.1007/s00366-020-01025-8","Zhongmin WangQifang LuoYongquan Zhou","2021","http://link.springer.com/article/10.1007/s00366-020-01025-8","Article"
"An ant colony optimization metaheuristic hybridized with tabu search for open vehicle routing problems","Journal of the Operational Research Society","","60","7","10.1057/palgrave.jors.2602644","X-Y LiP TianS C H Leung","2009","http://link.springer.com/article/10.1057/palgrave.jors.2602644","Article"
"Solving a bi-objective mathematical model for location-routing problem with time windows in multi-echelon reverse logistics using metaheuristic procedure","Journal of Industrial Engineering International","","12","4","10.1007/s40092-016-0154-x","V. R. GhezavatiM. Beigi","2016","http://link.springer.com/article/10.1007/s40092-016-0154-x","Article"
"Ant colony optimization for real-world vehicle routing problems","Swarm Intelligence","","1","2","10.1007/s11721-007-0005-x","A. E. RizzoliR. MontemanniE. LucibelloL. M. Gambardella","2007","http://link.springer.com/article/10.1007/s11721-007-0005-x","Article"
"Vehicle routing problems based on Harris Hawks optimization","Journal of Big Data","","9","1","10.1186/s40537-022-00593-4","Mohammed AlweshahMuder AlmianiNedaa AlmansourSaleh Al KhalailehHamza AldabbasWaleed AlomoushAlmahdi Alshareef","2022","http://link.springer.com/article/10.1186/s40537-022-00593-4","Article"
"A perturbation metaheuristic for the vehicle routing problem with private fleet and common carriers","Journal of the Operational Research Society","","59","6","10.1057/palgrave.jors.2602390","M-C BolducJ RenaudF BoctorG Laporte","2008","http://link.springer.com/article/10.1057/palgrave.jors.2602390","Article"
"Meliorated Crab Mating Optimization Algorithms for Capacitated Vehicle Routing Problem","SN Computer Science","","5","1","10.1007/s42979-023-02385-w","Burakhan CubukcuUgur Yuzgec","2023","http://link.springer.com/article/10.1007/s42979-023-02385-w","Article"
"Metaheuristic approaches to a vehicle scheduling problem in sugar beet transportation","Operational Research","","21","3","10.1007/s12351-019-00495-z","Ana AnokićZorica StanimirovićĐorđe StakićTatjana Davidović","2021","http://link.springer.com/article/10.1007/s12351-019-00495-z","Article"
"Modeling a periodic electric vehicle–routing problem considering delivery due date and mixed charging rates using metaheuristic method","Environmental Science and Pollution Research","","29","46","10.1007/s11356-022-20776-z","Maryam ElahiSoroush Avakh Darestani","2022","http://link.springer.com/article/10.1007/s11356-022-20776-z","Article"
"High-Level Relay Hybrid Metaheuristic Method for Multi-Depot Vehicle Routing Problem with Time Windows","Journal of Mathematical Modelling and Algorithms","","11","2","10.1007/s10852-011-9171-3","Siamak NooriS. Farid Ghannadpour","2012","http://link.springer.com/article/10.1007/s10852-011-9171-3","Article"
"Parallelization of a Two-Phase Metaheuristic for Routing Problems with Time Windows","Journal of Heuristics","","8","3","10.1023/A:1015053600842","Hermann GehringJörg Homberger","2002","http://link.springer.com/article/10.1023/A%3A1015053600842","Article"
"On automatic algorithm configuration of vehicle routing problem solvers","Journal on Vehicle Routing Algorithms","","2","1 - 4","10.1007/s41604-019-00010-9","Jussi RaskuNysret MusliuTommi Kärkkäinen","2019","http://link.springer.com/article/10.1007/s41604-019-00010-9","Article"
"The vehicle routing problem with backhauls towards a sustainability perspective: a review","TOP","","28","2","10.1007/s11750-019-00534-0","Maria João SantosPedro AmorimAlexandra MarquesAna CarvalhoAna Póvoa","2020","http://link.springer.com/article/10.1007/s11750-019-00534-0","Article"
"Using modified metaheuristic algorithms to solve a hazardous waste collection problem considering workload balancing and service time windows","Soft Computing","","25","3","10.1007/s00500-020-05261-4","Masoud RabbaniAlireza NikoubinHamed Farrokhi-Asl","2021","http://link.springer.com/article/10.1007/s00500-020-05261-4","Article"
"A hybrid metaheuristic for the vehicle routing problem with stochastic demand and duration constraints","Journal of Heuristics","","22","4","10.1007/s10732-015-9281-6","Jorge E. MendozaLouis-Martin RousseauJuan G. Villegas","2016","http://link.springer.com/article/10.1007/s10732-015-9281-6","Article"
"Using simheuristics to promote horizontal collaboration in stochastic city logistics","Progress in Artificial Intelligence","","6","4","10.1007/s13748-017-0122-8","Carlos L. Quintero-AraujoAljoscha GrulerAngel A. JuanJesica de ArmasHelena Ramalhinho","2017","http://link.springer.com/article/10.1007/s13748-017-0122-8","Article"
"Metaheuristic search techniques for multi-objective and stochastic problems: a history of the inventions of Walter J. Gutjahr in the past 22 years","Central European Journal of Operations Research","","26","2","10.1007/s10100-018-0522-2","Karl F. DoernerVittorio Maniezzo","2018","http://link.springer.com/article/10.1007/s10100-018-0522-2","Article"
"A Hybrid and Adaptive Metaheuristic for the Rebalancing Problem in Public Bicycle Systems","International Journal of Intelligent Transportation Systems Research","","17","2","10.1007/s13177-018-0163-9","Haitao XuJing Ying","2019","http://link.springer.com/article/10.1007/s13177-018-0163-9","Article"
"A fast metaheuristic for the travelling salesperson problem with hotel selection","4OR","","13","1","10.1007/s10288-014-0264-5","Marco CastroKenneth SörensenPieter VansteenwegenPeter Goos","2015","http://link.springer.com/article/10.1007/s10288-014-0264-5","Article"
"A survey on pickup and delivery problems","Journal für Betriebswirtschaft","","58","1","10.1007/s11301-008-0033-7","Sophie N. ParraghKarl F. DoernerRichard F. Hartl","2008","http://link.springer.com/article/10.1007/s11301-008-0033-7","Article"
"Vehicle routing problems with loading constraints: state-of-the-art and future directions","OR Spectrum","","37","2","10.1007/s00291-014-0386-3","Hanne PollarisKris BraekersAn CarisGerrit K. JanssensSabine Limbourg","2015","http://link.springer.com/article/10.1007/s00291-014-0386-3","Article"
"Variable neighbourhood search: methods and applications","4OR","","6","4","10.1007/s10288-008-0089-1","Pierre HansenNenad MladenovićJosé A. Moreno Pérez","2008","http://link.springer.com/article/10.1007/s10288-008-0089-1","Article"
"A customer-centric routing problem with multiple trips of a single vehicle","Journal of the Operational Research Society","","66","8","10.1057/jors.2014.92","Iris Martínez-SalazarFrancisco Angel-BelloAda Alvarez","2015","http://link.springer.com/article/10.1057/jors.2014.92","Article"
"Improved load balancing and resource utilization for the Skill Vehicle Routing Problem","Optimization Letters","","7","8","10.1007/s11590-012-0524-2","Silvia SchwarzeStefan Voß","2013","http://link.springer.com/article/10.1007/s11590-012-0524-2","Article"
"A new bilevel formulation for the vehicle routing problem and a solution method using a genetic algorithm","Journal of Global Optimization","","38","4","10.1007/s10898-006-9094-0","Yannis MarinakisAthanasios MigdalasPanos M. Pardalos","2007","http://link.springer.com/article/10.1007/s10898-006-9094-0","Article"
"Robust multi-objective multi-humanoid robots task allocation based on novel hybrid metaheuristic algorithm","Applied Intelligence","","49","12","10.1007/s10489-019-01475-8","Saeed SaeedvandHadi S. AghdasiJacky Baltes","2019","http://link.springer.com/article/10.1007/s10489-019-01475-8","Article"
"Cargo theft weighted vehicle routing problem: modeling and application to the pharmaceutical distribution sector","Soft Computing","","23","14","10.1007/s00500-018-3250-6","Hugo M. RepolhoJanaina F. MarchesiOrivalde S. Silva JúniorRodrigo R. R. Bezerra","2019","http://link.springer.com/article/10.1007/s00500-018-3250-6","Article"
"A review of recent advances in the operations research literature on the green routing problem and its variants","Annals of Operations Research","","304","1 - 2","10.1007/s10479-021-04046-8","Emna MarrekchiWalid BesbesDiala DhouibEmrah Demir","2021","http://link.springer.com/article/10.1007/s10479-021-04046-8","Article"
"A review of the role of heuristics in stochastic optimisation: from metaheuristics to learnheuristics","Annals of Operations Research","","320","2","10.1007/s10479-021-04142-9","Angel A. JuanPeter KeenanRafael MartíSeán McGarraghyJavier PanaderoPaula CarrollDiego Oliva","2023","http://link.springer.com/article/10.1007/s10479-021-04142-9","Article"
"Heuristic and metaheuristic methods for the parallel unrelated machines scheduling problem: a survey","Artificial Intelligence Review","","56","4","10.1007/s10462-022-10247-9","Marko ƉurasevićDomagoj Jakobović","2023","http://link.springer.com/article/10.1007/s10462-022-10247-9","Article"
"Lower and upper bounds for the m-peripatetic vehicle routing problem","4OR","","8","4","10.1007/s10288-010-0148-2","Sandra Ulrich NgueveuChristian PrinsRoberto Wolfler Calvo","2010","http://link.springer.com/article/10.1007/s10288-010-0148-2","Article"
"Minimizing customers’ waiting time in a vehicle routing problem with unit demands","Journal of Computer and Systems Sciences International","","54","6","10.1134/S1064230715040024","S. NucamendiY. Cardona-ValdesF. Angel-Bello Acosta","2015","http://link.springer.com/article/10.1134/S1064230715040024","Article"
"Solving vehicle routing problem by memetic search with evolutionary multitasking","Memetic Computing","","14","1","10.1007/s12293-021-00352-7","Qingxia ShangYuxiao HuangYu WangMin LiLiang Feng","2022","http://link.springer.com/article/10.1007/s12293-021-00352-7","Article"
"Integrated order picking and vehicle routing with due dates","OR Spectrum","","40","4","10.1007/s00291-018-0517-3","Daniel SchubertAndré ScholzGerhard Wäscher","2018","http://link.springer.com/article/10.1007/s00291-018-0517-3","Article"
"A multi-start ILS–RVND algorithm with adaptive solution acceptance for the CVRP","Soft Computing","","24","4","10.1007/s00500-019-04072-6","Osman GokalpAybars Ugur","2020","http://link.springer.com/article/10.1007/s00500-019-04072-6","Article"
"Annotated bibliography in vehicle routing","Operational Research","","7","1","10.1007/BF02941184","Yannis MarinakisAthanasios Migdalas","2007","http://link.springer.com/article/10.1007/BF02941184","Article"
"Feeder vehicle routing problem in a collaborative environment using hybrid particle swarm optimization and adaptive learning strategy","Environment, Development and Sustainability","","","","10.1007/s10668-023-04123-x","Morteza Salehi SarbijanJavad Behnamian","2023","http://link.springer.com/article/10.1007/s10668-023-04123-x","Article"
"Deep Reinforcement Learning for the Capacitated Pickup and Delivery Problem with Time Windows","Pattern Recognition and Image Analysis","","33","2","10.1134/S1054661823020165","A. G. SorokaA. V. MeshcheryakovS. V. Gerasimov","2023","http://link.springer.com/article/10.1134/S1054661823020165","Article"
"Distance approximation to support customer selection in vehicle routing problems","Annals of Operations Research","","","","10.1007/s10479-022-04674-8","Fabian AkkermanMartijn Mes","2022","http://link.springer.com/article/10.1007/s10479-022-04674-8","Article"
"A variable neighborhood search algorithm with constraint relaxation for the two-echelon vehicle routing problem with simultaneous delivery and pickup demands","Soft Computing","","26","17","10.1007/s00500-021-06692-3","Ran LiuShan Jiang","2022","http://link.springer.com/article/10.1007/s00500-021-06692-3","Article"
"Vehicle routing with soft time windows and Erlang travel times","Journal of the Operational Research Society","","59","9","10.1057/palgrave.jors.2602465","R A RussellT L Urban","2008","http://link.springer.com/article/10.1057/palgrave.jors.2602465","Article"
"A Metaheuristic to Solve a Location-Routing Problem with Non-Linear Costs","Journal of Heuristics","","11","5 - 6","10.1007/s10732-005-3601-1","Jan MelechovskýChristian PrinsRoberto Wolfler Calvo","2005","http://link.springer.com/article/10.1007/s10732-005-3601-1","Article"
"A two-phase multi-objective metaheuristic for a green UAV grid routing problem","Optimization Letters","","17","9","10.1007/s11590-023-02013-9","Elias L. Marques Jr.Vitor N. CoelhoIgor M. CoelhoLuiz Satoru OchiNelson MaculanNenad MladenovićBruno N. Coelho","2023","http://link.springer.com/article/10.1007/s11590-023-02013-9","Article"
