"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U9G5SJZY","journalArticle","2023","Vieira, BS; Ribeiro, GM; Bahiense, L","Metaheuristics with variable diversity control and neighborhood search for the Heterogeneous Site-Dependent Multi-depot Multi-trip Periodic Vehicle Routing Problem","COMPUTERS & OPERATIONS RESEARCH","","","10.1016/j.cor.2023.106189","","The planning of vehicle routes is a major issue involved in supply chains. In real environment, we can find situations involving a very large number of clients or constraints which indicate that exact methods should be avoided. In this context, this paper presents two metaheuristcs which are used to solve a complex problem named the Heterogeneous Site-Dependent Multi-depot Multi-trip Periodic Vehicle Routing Problem (HSDMDMTPVRP). The HSDMDMTPVRP is a real problem found in the automotive industry and considers several well-known Vehicle Routing Problems (VRP). The first metaheuristic is an adaptation of the Unified Hybrid Genetic Search (UHGS) which considers an advanced diversity control, feasibility control and a restart mechanism. The second one is a new metaheuristic named Adaptive Variable Neighborhood Race (AVNR) which combines variable neighborhood search and adaptive mechanisms integrated with a shrinking population managed with a diversity mechanism. Both approaches are also used for solving some variants of the VRP: Heterogeneous VRP, Site dependent VRP, Periodic VRP and Multi-trip VRP. Our computational experiments used 398 available instances in the literature with generic code path and also present 20 new instances for the HSDMDMTPVRP. The metaheuristics solved all instances with only one set of parameters and the results outperform or present the same solutions found by several state-of-the-art algorithms, showing the good performance of the approaches. Out of the 398 previously tested literature instances, the proposed metaheuristics found 140 new best-known solutions and 209 of the best-known ones. For the remaining instances, both approaches found results very close to best ones known.","2023-05","2024-04-22 16:47:59","2024-04-22 16:47:59","","","","","153","","","","","","","","","","","","","","WOS:000947448800001","","","","","","","Metaheuristics; Vehicle Routing Problem; FLEET FORMULATION; Heterogeneous VRP; LOCAL SEARCH; MEMETIC ALGORITHM; Multi-depot VRP; Multi-trips VRP; Periodic VRP; Site dependent VRP; SIZE; TABU SEARCH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HII9KSFG","journalArticle","2016","Berghida, M; Boukra, A","Quantum Inspired Algorithm for a VRP with Heterogeneous Fleet Mixed Backhauls and Time Windows","INTERNATIONAL JOURNAL OF APPLIED METAHEURISTIC COMPUTING","","","10.4018/IJAMC.2016100102","","This paper presents a new Quantum Inspired Harmony Search algorithm with Variable Population Size QIHSVPS for a complex variant of vehicle routing problem (VRP), called HVRPMBTW (Vehicle Routing Problem with Heterogeneous fleet, Mixed Backhauls and Time Windows). This variant is characterized by a limited number of vehicles with various capacities and costs. The vehicles serve two types of customers: linehauls customers and backhauls customers. Each customer must be visited in a specific interval of time. The authors propose to use quantum principles to accelerate evolution process and variable population size to decrease the number of solution's evaluation, when the improvement is insignificant. This new approach was tested on benchmarks and produces satisfactory results compared to other approaches.","2016-10","2024-04-22 16:48:00","2024-04-22 16:48:00","","18-38","","4","7","","","","","","","","","","","","","","WOS:000383670200002","","","","","","","Vehicle Routing Problem; Harmony Search; DELIVERY; DESIGN; EVOLUTIONARY ALGORITHM; GENETIC ALGORITHM; HARMONY SEARCH ALGORITHM; Heterogeneous Fleet; HYBRID ALGORITHM; Mixed Backhauls; PICKUP; Pickup and Delivery; Quantum Inspired Method; Time Windows; Variable Population Size; VEHICLE-ROUTING PROBLEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBKY7CPV","journalArticle","2019","Kheiri, A; Dragomir, AG; Mueller, D; Gromicho, J; Jagtenberg, C; van Hoorn, JJ","Tackling a VRP challenge to redistribute scarce equipment within time windows using metaheuristic algorithms","EURO JOURNAL ON TRANSPORTATION AND LOGISTICS","","","10.1007/s13676-019-00143-8","","This paper reports on the results of the VeRoLog Solver Challenge 2016-2017: the third solver challenge facilitated by VeRoLog, the EURO Working Group on Vehicle Routing and Logistics Optimization. The authors are the winners of second and third places, combined with members of the challenge organizing committee. The problem central to the challenge was a rich VRP: expensive and, therefore, scarce equipment was to be redistributed over customer locations within time windows. The difficulty was in creating combinations of pickups and deliveries that reduce the amount of equipment needed to execute the schedule, as well as the lengths of the routes and the number of vehicles used. This paper gives a description of the solution methods of the above-mentioned participants. The second place method involves sequences of 22 low level heuristics: each of these heuristics is associated with a transition probability to move to another low level heuristic. A randomly drawn sequence of these heuristics is applied to an initial solution, after which the probabilities are updated depending on whether or not this sequence improved the objective value, hence increasing the chance of selecting the sequences that generate improved solutions. The third place method decomposes the problem into two independent parts: first, it schedules the delivery days for all requests using a genetic algorithm. Each schedule in the genetic algorithm is evaluated by estimating its cost using a deterministic routing algorithm that constructs feasible routes for each day. After spending 80 percent of time in this phase, the last 20 percent of the computation time is spent on Variable Neighborhood Descent to further improve the routes found by the deterministic routing algorithm. This article finishes with an in-depth comparison of the results of the two approaches.","2019-12","2024-04-22 16:48:00","2024-04-22 16:48:00","","561-595","","5","8","","","","","","","","","","","","","","WOS:000504189300005","","","","","","","Routing; Metaheuristics; VEHICLE-ROUTING PROBLEM; A-RIDE PROBLEM; Evolutionary computations; HYPER-HEURISTICS; Inventory; PICK-UP; SELECTION; SIMULTANEOUS DELIVERY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIMP56KG","journalArticle","2020","Utama, DM; Dewi, SK; Wahid, A; Santoso, I","The vehicle routing problem for perishable goods: A systematic review","COGENT ENGINEERING","","","10.1080/23311916.2020.1816148","","Vehicle Routing Problem (VRP) is the problem for finding optimal routes in the distribution system, and this problem needs attention because it can improve distribution performance. One of the problems in VRP is the Vehicle Routing Problem for Perishable Goods (VRPfPG). This issue addresses VRP for products that are rapidly losing quality and perishable. This paper attempts to review the Vehicle Routing Problem for Perishable Goods (VRPfPG). A systematic review has been carried out on fifty-nine (59) published papers from 2001 to March 2020. The optimization methods in this review were classified into single and multi-objective problems. In addition, the review was also conducted based on the objective function. The results show the metaheuristic algorithm to be a popular optimization method for solving single and multi-objective problems. Further, the results also show that minimizing the total cost distribution to be the objective function that was often used by researchers. Finally, future studies are suggested to explore a more comprehensive investigation in the VRPfPG.","2020-01-01","2024-04-22 16:48:00","2024-04-22 16:48:00","","","","1","7","","","","","","","","","","","","","","WOS:000566654000001","","","","","","","VRP; CROSS-DOCKING; HEURISTIC ALGORITHM; INTEGRATED PRODUCTION; MODEL; MULTIOBJECTIVE OPTIMIZATION; optimization; perishable goods; PRODUCTS; routing; SCHEDULING PROBLEM; TIME-WINDOWS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTWID3LJ","journalArticle","2020","Zulvia, FE; Kuo, RJ; Nugroho, DY","A many-objective gradient evolution algorithm for solving a green vehicle routing problem with time windows and time dependency for perishable products","JOURNAL OF CLEANER PRODUCTION","","","10.1016/j.jclepro.2019.118428","","All over the world, huge numbers of perishable goods are transported from suppliers to recipients every day. Some perishable products such as foods and medicine require a special treatment during delivery due to their limited lifetime, and all perishable products must be transported as quickly as possible before they spoil. In addition to the time limitation on transport, high frequency of transportation may lead to high transportation cost, making the optimization of transportation cost for delivering perishable products very important in this industry. In addition, high frequency of transportation may also contribute to air pollution. In order to address this problem, this study proposes a green vehicle routing problem (VRP) for perishable products which optimizes the operational cost, deterioration cost, carbon emissions and customer satisfaction. The proposed VRP model also considers time windows, different travelling time during peak hour and off-peak hour, and working hours. This paper solves the proposed model using a many-objective gradient evolution (MOGE) algorithm. GE algorithm is a new metaheuristic which was originally proposed for continuous problems with a single objective. However, this study improves the original GE algorithm with discretization, non-dominated sorting, and crowding distance approaches. The proposed model and algorithm are employed to solve a fruit distribution problem. The experiment results show that the proposed MOGE algorithm has more promising results than other algorithms. (C) 2019 Elsevier Ltd. All rights reserved.","2020-01-01","2024-04-22 16:48:00","2024-04-22 16:48:00","","","","","242","","","","","","","","","","","","","","WOS:000491240100009","","","","","","","DELIVERY; GENETIC ALGORITHM; Gradient evolution algorithm; Green VRP; Many-objective optimization; VRP for perishable products","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETX49THA","journalArticle","2023","Frías, N; Johnson, F; Valle, C","Hybrid Algorithms for Energy Minimizing Vehicle Routing Problem: Integrating Clusterization and Ant Colony Optimization","IEEE ACCESS","","","10.1109/ACCESS.2023.3325787","","In the field of engineering, complex problems often arise that require solutions. The implementation of these algorithms plays a crucial role in achieving favorable outcomes with the available resources. The Vehicle Routing Problem (VRP) has been a central topic in distribution and logistics for decades. New VRP models and tools are developed to address the challenges of modern logistics. The Energy Minimizing Vehicle Routing Problem (EMVRP) is a ""green""-oriented variant of the VRP where the objective is to minimize the total amount of energy consumed by a fleet of vehicles. The VRP literature has focused on solving the problem using a variety of approaches and techniques, including exact methods, heuristics, metaheuristics, and hybrid algorithms. Hybrid algorithms combine different techniques to obtain more effective and better solutions. This work presents four innovative hybrid algorithms to address the EMVRP problem. These algorithms combine Machine Learning (ML) clustering techniques with metaheuristic approaches inspired by an Ant Colony Optimization (ACO). The proposed algorithms are: Free Ant + K-Means, Free Ant + K-Medoids, Restricted Ant + K-Means, and Restricted Ant + K-Medoids. Each of them combines the benefits of clustering with the optimization capacity of ACO. Proposed algorithms were subjected to testing using instances from CVRPLIB. Both Free Ant and Restricted Ant efficiently solved EMVRP problems. The results obtained were analyzed and compared with the proposals of other authors in the literature. Overall, the results are promising, but they also indicate a significant scope for experimentation and parameter tuning of the proposed algorithms.","2023","2024-04-22 16:48:00","2024-04-22 16:48:00","","125800-125821","","","11","","","","","","","","","","","","","","WOS:001104697100001","","","","","","","machine learning; metaheuristics; Complex problems; free ant; green-vrp; heuristics; k-means; k-medoids; restricted ant; vehicle routing problem (VRP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G3DVSM7Q","journalArticle","2006","Oppen, J; Lokketangen, A","Arc routing in a node routing environment","COMPUTERS & OPERATIONS RESEARCH","","","10.1016/j.cor.2004.09.004","","We describe a special variant of the vehicle routing problem (VRP), where there are many customers per road segment. This class of VRPs arises in, e.g. mail delivery, and is a borderline case where both arc routing and node routing techniques may be applied for modeling and solving. In a real-world setting, the problem should be modeled so as to incorporate all important constraining factors. We use a simplified node routing model and aggregate customers into supernodes to reduce problem size. A tabu search metaheuristic for the standard node routing-based VRP is then applied to the aggregated version of the problem. Our method is tested both on test instances from the literature as well as on a portfolio of new test instances especially made to fit the problem at hand. Experimental results are reported, showing that aggregation of customers can lead to substantial improvements both in solution time and solution quality in this setting, especially for larger instances. (c) 2004 Elsevier Ltd. All. rights reserved.","2006-04","2024-04-22 16:48:00","2024-04-22 16:48:00","","1033-1055","","4","33","","","","","","","","","","","","","","WOS:000232998100010","","","","","","","VRP; vehicle routing; TABU SEARCH; aggregation; ALGORITHM; DISPATCHING PROBLEM; tabu search; TRAVELING SALESMAN PROBLEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQ4HRQPC","journalArticle","2022","Ngo, TS; Jaafar, J; Aziz, IA; Aftab, MU; Nguyen, HG; Bui, NA","Metaheuristic Algorithms Based on Compromise Programming for the Multi-Objective Urban Shipment Problem","ENTROPY","","","10.3390/e24030388","","The Vehicle Routing Problem (VRP) and its variants are found in many fields, especially logistics. In this study, we introduced an adaptive method to a complex VRP. It combines multi-objective optimization and several forms of VRPs with practical requirements for an urban shipment system. The optimizer needs to consider terrain and traffic conditions. The proposed model also considers customers' expectations and shipper considerations as goals, and a common goal such as transportation cost. We offered compromise programming to approach the multi-objective problem by decomposing the original multi-objective problem into a minimized distance-based problem. We designed a hybrid version of the genetic algorithm with the local search algorithm to solve the proposed problem. We evaluated the effectiveness of the proposed algorithm with the Tabu Search algorithm and the original genetic algorithm on the tested dataset. The results show that our method is an effective decision-making tool for the multi-objective VRP and an effective solver for the new variation of VRP.","2022-03","2024-04-22 16:48:00","2024-04-22 16:48:00","","","","3","24","","","","","","","","","","","","","","WOS:000776952800001","","","","","","","VRP; Tabu search; metaheuristics; VEHICLE-ROUTING PROBLEM; combinatorial optimization; compromise programming; genetic algorithm; local search; multi objective optimization; OPTIMIZATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B96U56YS","journalArticle","2021","Prajapati, D; Kumar, MM; Pratap, S; Chelladurai, H; Zuhair, M","Sustainable Logistics Network Design for Delivery Operations with Time Horizons in B2B E-Commerce Platform","LOGISTICS-BASEL","","","10.3390/logistics5030061","","In the recent era, the rapidly increasing trend of e-commerce business creates opportunities for logistics service providers to grow globally. With this growth, the concern regarding the implementation of sustainability in logistic networks has received attention in recent years. Thus, in this work, we have focused on the vehicle routing problem (VRP) to deliver the products in a lesser time horizon with driver safety concern considerations in business (B2B) e-commerce platforms. We proposed a sustainable logistics network that captures the complexities of suppliers, retailers, and logistics service providers. A mixed-integer nonlinear programming (MINLP) approach is applied to formulate a model to minimize total time associated with order processing, handling, packaging, shipping, and vehicle maintenance. Branch-and-bound algorithms in the LINGO optimization tool and genetic algorithm (GA) are used to solve the formulated mathematical model. The computational experiments are performed in eight different case scenarios (small-sized problem to large-sized problem) to validate the model.","2021-09","2024-04-22 16:48:00","2024-04-22 16:48:00","","","","3","5","","","","","","","","","","","","","","WOS:000702842300001","","","","","","","VRP; VEHICLE-ROUTING PROBLEM; ALGORITHM; ANT COLONY OPTIMIZATION; B2B e-commerce logistics; DECOMPOSITION; exact optimization; metaheuristic approaches; SERVICE; SOLVE; sustainability; time horizons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FFXHDWD","journalArticle","2016","Sethanan, K; Pitakaso, R","Differential evolution algorithms for scheduling raw milk transportation","COMPUTERS AND ELECTRONICS IN AGRICULTURE","","","10.1016/j.compag.2015.12.021","","This paper focuses on determining routes for raw milk collection from collection centers to dairy factories with the objective of minimizing the total costs, considering fuel costs and costs of cleaning and sanitizing raw milk tanks on vehicles. This problem is considered to be a special case of the vehicle routing problem (VRP) but it is complex compared to the general VRP, especially since each vehicle contains more than one tank with heterogeneous capacity to collect raw milk and raw milk from different collection centers cannot be transferred into the same compartment. In this paper, a DE metaheuristic was used to solve the problem. In order to improve the solution quality, five modified DE algorithms with two additional steps, reincarnation and survival processes, were proposed. In addition, the skipped customer and multi-route attributes are also developed in the decoding process in order to obtain a shorter traveling distance and lower truck usage in the system, especially if they are used together with the reincarnation and survival processes. The computational results reveal that the modified DE algorithms yield higher relative improvement (RI) on the total costs and also the RI on the number of vehicles used. (C) 2016 Elsevier B.V. All rights reserved.","2016-02","2024-04-22 16:48:00","2024-04-22 16:48:00","","245-259","","","121","","","","","","","","","","","","","","WOS:000372380100027","","","","","","","VRP; TABU SEARCH; OPTIMIZATION; Dairy industry; Differential evolution; Heuristic algorithm; HYBRID METAHEURISTIC ALGORITHMS; Total cost; TRUCK; Vehicle utilization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
